Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
24,NAGALAND,477,ZUNHEBOTO,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ZUNHEBOTO Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
25,NCT OF DELHI,478,CENTRAL DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CENTRAL DELHI Mfr of Dairy Products,135453776,1018592,0.0075,0.81,1.08,0.72,0.75,0.74,1.22,1.45,1.85,2.18,1.90,2.22,1.90,2.43,2.25,2.07,2.02,1.94,1.68,2.07,1.41,0.79,1.11,1.11,1.42,0.69,0.75,1.15,1.52,0.60,0.77,1.64
25,NCT OF DELHI,480,EAST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,EAST DELHI Mfr of Dairy Products,135453776,39965,0.0003,4.76,4.00,3.53,1.78,1.92,2.00,0.67,0.26,0.47,0.26,0.48,0.52,0.22,0.18,0.57,1.12,0.83,1.19,1.14,1.35,0.80,0.84,1.46,1.35,1.15,0.66,0.62,1.46,0.74,1.25,1.00
25,NCT OF DELHI,481,NEW DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NEW DELHI Mfr of Dairy Products,135453776,25821617,0.1906,1.48,1.60,1.57,1.52,1.65,1.55,1.51,1.64,1.64,1.36,1.51,1.46,1.20,1.05,1.51,1.39,1.02,0.98,1.03,1.54,1.46,1.33,1.49,1.24,1.14,1.16,1.32,0.94,0.65,0.98,1.11
25,NCT OF DELHI,482,NORTH DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH DELHI Mfr of Dairy Products,135453776,374,,0.00,0.00,0.00,0.68,0.63,0.01,0.02,0.04,0.03,0.60,0.97,0.54,0.70,0.59,0.91,0.77,0.81,0.70,0.53,0.43,0.74,0.15,0.21,0.24,0.35,0.75,0.30,0.68,0.67,0.52,0.89
25,NCT OF DELHI,483,NORTH-EAST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH-EAST DELHI Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,3.00,0.01,0.00,0.00,0.00,0.00,1.82,1.89,1.86,1.98,2.15,1.99,1.96,2.26,2.16,2.76,2.53,3.58,3.97,3.38,3.40,3.08,3.39,3.92
25,NCT OF DELHI,484,NORTH-WEST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH-WEST DELHI Mfr of Dairy Products,135453776,466,,0.01,0.00,0.00,0.01,0.02,0.10,0.02,0.03,0.03,0.20,0.61,0.50,0.28,0.60,0.61,0.58,0.82,0.84,0.85,0.70,0.62,1.44,0.94,0.61,0.62,0.49,0.76,0.27,0.33,0.86,0.79
25,NCT OF DELHI,485,SHAHDARA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SHAHDARA Mfr of Dairy Products,135453776,53,,0.01,0.01,0.00,0.00,0.00,0.18,0.00,0.03,0.04,0.03,0.00,0.05,0.05,0.10,0.14,0.08,0.19,0.26,0.30,0.55,0.72,0.72,0.78,0.46,0.18,0.11,0.07,0.04,0.05,0.07,0.07
25,NCT OF DELHI,486,SOUTH DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH DELHI Mfr of Dairy Products,135453776,16532,0.0001,0.21,0.35,0.26,0.26,0.10,0.16,0.08,4.49,3.59,3.40,3.49,3.34,3.14,3.85,3.59,3.21,3.31,3.04,3.15,2.48,1.81,2.45,2.72,2.01,1.64,1.75,1.74,2.04,1.33,1.37,0.60
25,NCT OF DELHI,487,SOUTH-EAST DELHI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH-EAST DELHI Mfr of Dairy Products,135453776,39448,0.0003,0.67,1.49,0.69,0.64,1.77,1.82,0.63,0.55,1.39,1.56,1.49,1.72,2.73,0.63,0.51,0.45,0.95,1.05,0.50,0.41,0.63,0.23,0.37,0.17,0.07,0.07,0.16,0.13,0.17,0.31,0.27
