Sr. No,State,District1,District,Major Sector,Sub-sector1,Sub-Sector,Detailed Sector,Occupation/Activity,Concatenate,Sum of Activity,Outstanding credit Sep 2017,Ratio = Outstanding credit 2017/sum of activity,01-09-2017,01-12-2017,01-03-2018,01-06-2018,01-09-2018,01-12-2018,01-03-2019,01-06-2019,01-09-2019,01-12-2019,01-03-2020,01-06-2020,01-09-2020,01-12-2020,01-03-2021,01-06-2021,01-09-2021,01-12-2021,01-03-2022,01-06-2022,01-09-2022,01-12-2022,01-03-2023,01-06-2023,01-09-2023,01-12-2023,01-03-2024,01-06-2024,01-09-2024,01-12-2024,01-03-2025
1,ANDAMAN & NICOBAR ISLANDS,1,NICOBAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NICOBAR Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,ANDAMAN & NICOBAR ISLANDS,2,NORTH AND MIDDLE ANDAMAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NORTH AND MIDDLE ANDAMAN Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
1,ANDAMAN & NICOBAR ISLANDS,3,SOUTH ANDAMAN,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SOUTH ANDAMAN Mfr of Dairy Products,135453776,2441,,0.13,0.21,0.27,0.23,0.31,0.30,0.27,0.39,0.31,0.31,0.30,0.13,0.11,0.08,0.07,0.08,0.12,0.08,0.11,0.22,0.40,0.32,0.27,0.35,0.68,0.66,0.57,0.68,0.56,0.64,0.75
2,ANDHRA PRADESH,4,ALLURI SITHARAMA RAJU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ALLURI SITHARAMA RAJU Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.58,0.46,0.34,0.28,0.08,0.12,0.10,0.13,0.10,0.06,0.06,0.03
2,ANDHRA PRADESH,5,ANAKAPALLI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANAKAPALLI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.11,1.27,1.67,2.05,2.25,2.26,2.18,1.71,1.85,1.86,1.48,0.94
2,ANDHRA PRADESH,6,ANANTAPUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANANTAPUR Mfr of Dairy Products,135453776,80232,0.0006,0.92,0.95,0.24,0.77,0.20,0.30,0.16,0.17,0.15,0.13,0.15,0.12,0.12,0.33,1.05,1.27,1.45,1.02,1.13,1.78,2.08,2.86,2.66,3.58,3.09,-,-,-,-,-,-
2,ANDHRA PRADESH,7,ANNAMAYYA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANNAMAYYA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,1.28,1.52,1.32,0.92,0.72,0.66,0.80,0.87,0.96,0.93,0.73
2,ANDHRA PRADESH,8,BAPATLA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BAPATLA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.25,0.25,0.25,0.20,0.35,0.68,0.78,0.73,0.94,1.09,1.07,0.92
2,ANDHRA PRADESH,9,CHITTOOR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHITTOOR Mfr of Dairy Products,135453776,252052,0.0019,0.64,0.62,0.47,0.56,0.50,0.64,0.67,0.78,0.85,0.84,0.80,0.67,0.72,0.72,0.52,0.41,0.34,0.33,0.33,0.25,0.23,0.18,0.28,0.40,0.67,0.78,0.61,0.27,0.27,0.24,0.32
2,ANDHRA PRADESH,10,CUDDAPAH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CUDDAPAH Mfr of Dairy Products,135453776,11157,0.0001,0.10,0.09,0.08,0.08,0.05,0.08,0.08,0.09,0.10,0.07,0.07,0.07,0.09,0.08,0.18,0.28,0.29,0.41,0.45,-,-,-,-,-,-,-,-,-,-,-,-
2,ANDHRA PRADESH,11,EAST GODAVARI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,EAST GODAVARI Mfr of Dairy Products,135453776,98287,0.0007,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.04,0.05,0.04,0.06,0.06,0.07,0.06,0.07,0.07,0.09,0.18,0.56,0.62,0.69,0.67,0.60,0.58,0.63,0.53,0.57,0.50,0.49
2,ANDHRA PRADESH,12,ELURU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ELURU Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.67,0.86,0.94,0.83,0.64,0.64,0.87,0.86,1.06,1.19,1.04,0.83
2,ANDHRA PRADESH,13,GUNTUR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,GUNTUR Mfr of Dairy Products,135453776,164459,0.0012,0.12,0.15,0.30,0.19,0.33,0.31,0.28,0.36,0.37,0.38,0.18,0.15,0.17,0.18,0.55,0.56,0.43,0.46,0.59,0.50,0.59,0.77,1.02,0.73,0.53,0.56,0.58,0.43,0.29,0.36,0.31
2,ANDHRA PRADESH,14,KONASEEMA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KONASEEMA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.04,0.10,0.18,0.24,0.28,0.43,-,-,-,-,-,-
2,ANDHRA PRADESH,15,KRISHNA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KRISHNA Mfr of Dairy Products,135453776,370011,0.0027,0.33,0.37,0.14,0.13,0.13,0.15,0.18,0.26,0.34,0.33,0.26,0.26,0.32,0.33,0.32,0.32,0.07,0.11,0.75,0.60,0.67,0.78,0.68,1.16,1.24,1.19,1.10,1.03,0.97,0.86,0.48
2,ANDHRA PRADESH,16,KURNOOL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KURNOOL Mfr of Dairy Products,135453776,175127,0.0013,0.92,0.92,0.93,0.80,0.77,0.72,0.76,0.96,0.95,0.92,1.15,0.87,0.97,0.91,1.07,0.69,0.70,0.70,2.01,0.49,0.57,0.62,0.56,0.57,0.68,0.78,0.74,0.93,0.87,0.81,0.61
2,ANDHRA PRADESH,17,NANDYAL,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NANDYAL Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.70,1.73,2.12,3.31,2.46,2.04,2.08,1.93,1.58,1.28,1.53,1.60
2,ANDHRA PRADESH,18,NELLORE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NELLORE Mfr of Dairy Products,135453776,29763,0.0002,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.09,-,-,-,-,-,-,-,-,-,-,-,-
2,ANDHRA PRADESH,19,NTR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NTR Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.22,1.17,1.52,1.42,1.39,1.15,1.00,0.68,0.68,0.56,0.61,0.81
2,ANDHRA PRADESH,20,PALNADU,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PALNADU Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.26,0.34,0.39,0.35,0.29,0.28,0.29,0.20,0.23,0.29,0.35,0.34
2,ANDHRA PRADESH,21,PARVATHIPURAM MANYAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PARVATHIPURAM MANYAM Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.37,1.20,1.11,0.67,0.53,0.46,0.47,0.39,0.26,0.29,0.23,0.16
2,ANDHRA PRADESH,22,PRAKASAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PRAKASAM Mfr of Dairy Products,135453776,164118,0.0012,0.19,0.16,0.14,0.10,0.11,0.13,0.13,0.18,0.19,0.18,0.16,0.13,0.16,0.16,0.15,0.11,0.11,0.14,0.21,0.35,0.42,0.63,0.63,0.55,0.52,0.52,0.59,0.62,0.72,0.73,0.75
2,ANDHRA PRADESH,23,SRIKAKULAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SRIKAKULAM Mfr of Dairy Products,135453776,3637,,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.21,0.23,0.25,0.28,0.19,0.12,0.13,0.21,0.18,0.13,0.10,0.09,0.05
2,ANDHRA PRADESH,24,SRI POTTI SRIRAMULU NELLORE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SRI POTTI SRIRAMULU NELLORE Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.16,0.26,0.35,0.29,0.26,0.26,0.30,0.21,0.14,0.13,0.10,0.06
2,ANDHRA PRADESH,25,SRI SATHYA SAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SRI SATHYA SAI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.20,0.48,0.71,0.89,0.75,0.99,1.01,0.78,0.86,0.95,0.96,0.67
2,ANDHRA PRADESH,26,TIRUPATI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRUPATI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.36,0.45,0.48,0.43,0.41,0.43,0.37,0.29,0.36,0.39,0.30,0.23
2,ANDHRA PRADESH,27,VISAKHAPATNAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VISAKHAPATNAM Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.09,0.11,0.14,0.13,0.11,0.17,0.23,0.19,0.21,0.12,0.09,0.07
2,ANDHRA PRADESH,28,VISHAKHAPATNAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VISHAKHAPATNAM Mfr of Dairy Products,135453776,163978,0.0012,0.11,0.12,0.09,0.09,0.09,0.06,0.06,0.07,0.06,0.06,0.07,0.05,0.06,0.05,0.05,0.05,0.04,0.05,0.08,-,-,-,-,-,-,-,-,-,-,-,-
2,ANDHRA PRADESH,29,VIZIANAGARAM,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,VIZIANAGARAM Mfr of Dairy Products,135453776,9326,0.0001,0.11,0.11,0.08,0.07,0.08,0.11,0.06,0.06,0.06,0.05,0.05,0.04,0.05,0.07,0.06,0.05,0.06,0.07,0.31,0.21,0.29,0.40,0.45,0.66,0.68,0.81,0.79,0.56,0.39,0.34,0.22
2,ANDHRA PRADESH,30,WEST GODAVARI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST GODAVARI Mfr of Dairy Products,135453776,85695,0.0006,0.07,0.08,0.07,0.06,0.03,0.03,0.11,0.12,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.08,0.05,0.07,0.11,0.11,0.12,0.15,0.15,0.12,0.12,0.10,0.09,0.07
2,ANDHRA PRADESH,31,Y.S.R.,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,Y.S.R. Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,1.06,1.50,1.57,1.59,1.56,1.73,1.45,1.83,1.55,1.51,0.90
3,ARUNACHAL PRADESH,32,ANJAW,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,ANJAW Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,33,CHUNGLANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHUNGLANG Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,34,DIBANG VALLEY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DIBANG VALLEY Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,ARUNACHAL PRADESH,35,EAST KAMENG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,EAST KAMENG Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.98,0.00,0.00,-
3,ARUNACHAL PRADESH,36,EAST SIANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,EAST SIANG Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.87,0.72,0.66,0.66,0.58,0.72,0.95,1.39,0.56,0.47,0.65,0.34,0.47,0.28,0.24,0.21,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,-
3,ARUNACHAL PRADESH,37,KAMLE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KAMLE Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,38,KRA DAADI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KRA DAADI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,39,KURUNG KUMEY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,KURUNG KUMEY Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,0.00,0.00,-
3,ARUNACHAL PRADESH,40,LEPARADA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LEPARADA Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,41,LOHIT,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LOHIT Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,42,LONGDING,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LONGDING Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,4.49,4.92,4.51,4.16,4.14,0.93,0.68,0.66,0.67,0.75,0.49
3,ARUNACHAL PRADESH,43,LOWER DIBANG VALLEY,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LOWER DIBANG VALLEY Mfr of Dairy Products,135453776,177,,0.09,0.08,0.07,0.05,0.07,0.11,0.12,0.14,0.26,0.34,1.03,0.91,0.41,0.35,0.32,0.83,0.71,0.73,1.50,1.23,1.16,1.29,1.09,1.07,1.18,1.00,0.61,0.73,0.28,0.20,0.10
3,ARUNACHAL PRADESH,44,LOWER SIANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LOWER SIANG Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,-,-,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,-
3,ARUNACHAL PRADESH,45,LOWER SUBANSIRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,LOWER SUBANSIRI Mfr of Dairy Products,135453776,564,,1.70,0.94,0.80,0.38,0.27,0.34,0.27,0.28,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,46,NAMSAI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,NAMSAI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,47,PAKKE KESSANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PAKKE KESSANG Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,48,PAPUMPARE,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,PAPUMPARE Mfr of Dairy Products,135453776,772,,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.19,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00
3,ARUNACHAL PRADESH,49,SHI-YOMI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SHI-YOMI Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,3.45
3,ARUNACHAL PRADESH,50,SIANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,SIANG Mfr of Dairy Products,135453776,,,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-
3,ARUNACHAL PRADESH,51,TAWANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TAWANG Mfr of Dairy Products,135453776,742,,0.17,0.17,0.14,0.11,0.09,0.09,0.09,0.15,2.64,1.69,1.59,1.19,1.17,0.81,0.80,0.76,1.87,2.00,2.13,2.61,2.24,0.63,0.34,0.26,0.25,0.24,0.20,0.05,2.18,0.15,-
3,ARUNACHAL PRADESH,52,TIRAP,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,TIRAP Mfr of Dairy Products,135453776,135,,1.59,1.51,1.41,1.03,1.11,1.65,0.80,0.34,0.00,0.00,0.00,0.00,0.00,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,53,UPPER SIANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,UPPER SIANG Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,54,UPPER SUBANSIRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,UPPER SUBANSIRI Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,2.01,2.17,1.85,1.79,1.73,1.88,1.89,1.87,2.03,2.01,2.21,2.02,1.94,1.49,1.50,0.97,0.81,0.95,1.32,0.48
3,ARUNACHAL PRADESH,55,WEST KAMENG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST KAMENG Mfr of Dairy Products,135453776,10,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3,ARUNACHAL PRADESH,56,WEST SIANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,WEST SIANG Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
4,ASSAM,57,BAKSA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BAKSA Mfr of Dairy Products,135453776,3557,,1.41,1.19,1.06,0.91,0.93,1.06,0.05,0.03,0.03,0.26,0.25,0.19,0.04,0.03,0.09,0.08,0.08,0.09,0.10,0.23,0.16,0.14,0.13,0.05,0.05,0.05,0.04,0.88,0.03,0.18,0.34
4,ASSAM,58,BARPETA,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BARPETA Mfr of Dairy Products,135453776,4987,,0.22,0.16,0.22,0.13,0.15,0.16,0.19,0.25,0.24,0.23,0.26,0.26,0.25,0.24,0.22,0.21,0.24,0.28,0.27,0.24,0.18,0.17,0.19,0.16,0.16,0.15,0.13,0.68,0.08,0.09,0.10
4,ASSAM,59,BISWANATH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BISWANATH Mfr of Dairy Products,135453776,,,-,-,0.00,0.00,0.00,0.00,0.04,0.00,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.87,0.01,0.01,0.01
4,ASSAM,60,BONGAIGAON,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,BONGAIGAON Mfr of Dairy Products,135453776,2370,,0.41,0.39,0.73,0.58,0.57,0.63,0.67,0.76,0.76,0.38,0.51,0.59,0.22,0.23,0.63,0.42,0.38,0.44,0.44,0.41,0.57,0.49,0.49,0.49,0.49,0.57,0.69,1.29,0.58,0.66,0.73
4,ASSAM,61,CACHAR,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CACHAR Mfr of Dairy Products,135453776,8525,0.0001,0.15,0.15,0.20,0.15,0.18,0.20,0.33,0.38,0.37,0.36,0.39,0.29,0.25,0.29,0.33,0.25,0.26,0.42,0.46,0.44,0.36,0.32,0.23,0.19,0.19,0.21,0.23,0.90,0.15,0.17,0.19
4,ASSAM,62,CHARAIDEO,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHARAIDEO Mfr of Dairy Products,135453776,,,-,-,0.00,0.00,0.00,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.04,0.03,0.05,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.02,0.01,0.01,0.08,0.00,0.00,0.00
4,ASSAM,63,CHIRANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,CHIRANG Mfr of Dairy Products,135453776,1955,,0.53,0.42,0.39,0.38,0.42,0.47,0.28,0.35,0.34,0.26,0.32,0.25,0.27,0.24,0.23,0.22,0.12,0.15,0.19,0.18,0.17,0.14,0.12,0.15,0.13,0.13,0.14,0.75,0.17,0.17,0.25
4,ASSAM,64,DARRANG,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DARRANG Mfr of Dairy Products,135453776,2005,,0.07,0.10,0.09,0.10,0.11,0.16,0.18,0.27,0.27,0.24,0.28,0.20,0.20,0.19,0.15,0.15,0.19,0.17,0.16,0.16,0.13,0.17,0.12,0.10,0.09,0.16,0.12,0.67,0.09,0.10,0.11
4,ASSAM,65,DHEMAJI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DHEMAJI Mfr of Dairy Products,135453776,,,0.00,0.00,0.00,0.00,0.02,0.08,0.06,0.06,0.04,0.02,0.01,0.02,0.02,0.07,0.07,0.05,0.06,0.12,0.13,0.14,0.13,0.15,0.13,0.10,0.06,0.07,0.12,6.40,0.20,0.30,0.31
4,ASSAM,66,DHUBRI,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DHUBRI Mfr of Dairy Products,135453776,3411,,0.16,0.11,0.13,0.27,0.22,0.23,0.22,0.18,0.21,0.23,0.36,0.30,0.35,0.39,0.52,0.45,0.41,0.55,0.48,0.49,0.35,0.35,0.26,0.33,0.27,0.37,0.50,1.06,0.37,0.36,0.34
4,ASSAM,67,DIBRUGARH,II. INDUSTRY,2,2. Food Manufacturing & Processing,(f) Others,Mfr of Dairy Products,DIBRUGARH Mfr of Dairy Products,135453776,3703,,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.02,0.12,0.01,0.01,0.01
